,legislation_number,url,congress,title,sponsor,date_of_introduction,date_submitted,committees,latest_action,bill_status,party,month,year
0,H.R. 8414,https://www.congress.gov/bill/117th-congress/house-bill/8414,117th Congress (2021-2022),To amend the Internal Revenue Code of 1986 to repeal the diesel fuel tax.,"Rep. Mast, Brian J. [R-FL-18]",2022-07-18,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,July,2022
1,H.R. 8413,https://www.congress.gov/bill/117th-congress/house-bill/8413,117th Congress (2021-2022),To amend the Internal Revenue Code of 1986 to repeal certain taxes imposed on heavy trucks and trailers sold at retail.,"Rep. Mast, Brian J. [R-FL-18]",2022-07-18,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,July,2022
2,H.R. 8412,https://www.congress.gov/bill/117th-congress/house-bill/8412,117th Congress (2021-2022),"To amend title 23, United States Code, with respect to vehicle weight limitations, and for other purposes.","Rep. Mast, Brian J. [R-FL-18]",2022-07-18,,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,introduced,Reupblican,July,2022
3,H.R. 8411,https://www.congress.gov/bill/117th-congress/house-bill/8411,117th Congress (2021-2022),"To amend title 49, United States Code, with respect to length limitations of certain semitrailer or trailers operating in a truck tractor-semitrailer-trailer combination, and for other purposes.","Rep. Mast, Brian J. [R-FL-18]",2022-07-18,,House - Transportation and Infrastructure,Referred to the House Committee on Transportation and Infrastructure.,introduced,Reupblican,July,2022
4,H.R. 8408,https://www.congress.gov/bill/117th-congress/house-bill/8408,117th Congress (2021-2022),"To require a time limitation on covered agency mask mandate requirements, and for other purposes.","Rep. Ellzey, Jake [R-TX-6]",2022-07-18,,"House - Transportation and Infrastructure, Homeland Security, Energy and Commerce, Rules","Referred to the Committee on Transportation and Infrastructure, and in addition to the Committees on Homeland Security, Energy and Commerce, and Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",introduced,Reupblican,July,2022
5,H.R. 8402,https://www.congress.gov/bill/117th-congress/house-bill/8402,117th Congress (2021-2022),"To amend the Energy Policy and Conservation Act to prohibit the Secretary of Energy from prescribing any new or amended energy conservation standard for a product that is not technologically feasible and economically justified, and for other purposes.","Rep. Lesko, Debbie [R-AZ-8]",2022-07-15,,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,introduced,Reupblican,July,2022
6,H.R. 8400,https://www.congress.gov/bill/117th-congress/house-bill/8400,117th Congress (2021-2022),"To amend title IV of the Weather Research and Forecasting Innovation Act of 2017 to research the impact of obstructions on radar detection and prediction capabilities, and for other purposes.","Rep. Feenstra, Randy [R-IA-4]",2022-07-15,,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",introduced,Reupblican,July,2022
7,H.R. 8399,https://www.congress.gov/bill/117th-congress/house-bill/8399,117th Congress (2021-2022),To amend the Internal Revenue Code of 1986 to repeal the National Firearms Act.,"Rep. Cawthorn, Madison [R-NC-11]",2022-07-15,,House - Ways and Means,Referred to the House Committee on Ways and Means.,introduced,Reupblican,July,2022
8,H.R. 8397,https://www.congress.gov/bill/117th-congress/house-bill/8397,117th Congress (2021-2022),"To authorize the National Mesonet Program of the National Weather Service, and for other purposes.","Rep. Bice, Stephanie I. [R-OK-5]",2022-07-15,,"House - Science, Space, and Technology","Referred to the House Committee on Science, Space, and Technology.",introduced,Reupblican,July,2022
9,H.R. 8392,https://www.congress.gov/bill/117th-congress/house-bill/8392,117th Congress (2021-2022),"To authorize the Secretary of Education to make grants to local educational agencies to make physical improvements at the elementary schools and secondary schools served by such agencies, and for other purposes.","Rep. Van Drew, Jefferson [R-NJ-2]",2022-07-14,,House - Education and Labor,Referred to the House Committee on Education and Labor.,introduced,Reupblican,July,2022
